,nuts2,country,count_github,count_twitter,count_total_contributors,population,contributors_per_100k
171,UKG2,UK,118,18,136,1626956.0,8.359168901924823
172,DEA3,DE,190,29,219,2624625.0,8.344049149878554
173,FRI2,FR,52,8,60,726253.0,8.261583773147924
174,UKM6,UK,33,5,38,470990.0,8.068111849508481
175,DE72,DE,78,6,84,1048646.0,8.010329510626084
176,DE27,DE,131,19,150,1899442.0,7.897056082786418
177,BG33,BG,67,6,73,924870.0,7.893001178544012
178,SE31,SE,58,9,67,857762.0,7.81102450330045
179,LI00,LI,1,2,3,38747.0,7.742534905928201
180,ITC3,IT,112,6,118,1524826.0,7.738587878223482
181,DE26,DE,86,13,99,1317619.0,7.513552855567505
182,UKJ4,UK,124,15,139,1854717.0,7.494404806771059
183,AT21,AT,39,3,42,561293.0,7.482722927241209
184,UKF3,UK,51,5,56,756920.0,7.3984040585530835
185,EL62,EL,15,0,15,203149.0,7.3837429669848245
186,LU00,LU,33,13,46,626108.0,7.346975282219681
187,PL84,PL,78,6,84,1149389.0,7.308230720843857
188,NL13,NL,31,5,36,493682.0,7.292143525589347
189,BG42,BG,99,3,102,1406630.0,7.251373850977158
190,UKH2,UK,121,13,134,1871847.0,7.158704744565127
191,FRK1,FR,86,11,97,1371820.0,7.070898514382353
192,DED4,DE,87,13,100,1426380.0,7.01075449739901
193,FRC2,FR,76,6,82,1176196.0,6.9716271777832945
194,UKC1,UK,71,10,81,1201543.0,6.74133177089792
195,HU33,HU,80,2,82,1231094.0,6.660742396600097
196,UKD1,UK,32,1,33,498083.0,6.625401790464641
197,UKL1,UK,112,18,130,1968383.0,6.60440574827155
198,BE25,BE,72,7,79,1202352.0,6.570455241060854
199,UKH3,UK,110,11,121,1841887.0,6.569349802675192
200,LT02,LT,122,7,129,1973579.0,6.536348430947025
201,DE24,DE,59,10,69,1065371.0,6.476617065792104
202,BE35,BE,30,2,32,499433.0,6.40726583946195
203,ES23,ES,17,3,20,315931.0,6.330496215945887
204,EL54,EL,21,0,21,333265.0,6.301291764811786
205,DEE0,DE,126,12,138,2194782.0,6.287640412578561
206,NL34,NL,20,4,24,383488.0,6.258344459279039
207,BE22,BE,52,3,55,880602.0,6.245727354695992
208,BE32,BE,77,7,84,1350295.0,6.220862848488664
209,DE22,DE,71,6,77,1244169.0,6.1888698400297715
210,FRI3,FR,99,12,111,1813633.0,6.120312102834476
211,PL42,PL,99,3,102,1671605.0,6.101920011007385
212,ES41,ES,127,18,145,2401307.0,6.0383782665023675
213,DE94,DE,133,16,149,2533993.0,5.8800478138653105
214,FRD1,FR,78,8,86,1463606.0,5.875898295032953
215,PL82,PL,115,7,122,2084447.0,5.852871289123685
216,PL81,PL,119,3,122,2088292.0,5.842094879451724
217,MK00,MK,110,9,119,2076087.0,5.7319370527343025
218,RO12,RO,105,27,132,2314826.0,5.70237244613634
219,ES62,ES,67,16,83,1504869.0,5.515430246752375
220,FRF2,FR,65,7,72,1311830.0,5.488516042475016
221,CZ03,CZ,57,9,66,1233982.0,5.3485383093108325
222,ES22,ES,32,2,34,656509.0,5.178908438422018
223,EL63,EL,29,4,33,651065.0,5.068618340718668
224,UKE1,UK,38,9,47,932645.0,5.039430865977945
225,RO21,RO,147,13,160,3184215.0,5.024786328812596
226,EL61,EL,15,20,35,715115.0,4.894317697153604
227,ITG2,IT,70,8,78,1611621.0,4.839847582030763
228,PL61,PL,92,6,98,2050976.0,4.7782129093660775
229,CZ08,CZ,52,3,55,1200539.0,4.581275577053307
230,PT15,PT,19,1,20,438406.0,4.5619813597441645
231,SI03,SI,37,13,50,1100012.0,4.545404959218627
232,FRC1,FR,67,5,72,1618321.0,4.449055533481924
233,DEB2,DE,22,1,23,533113.0,4.314282337890841
234,ITF1,IT,51,4,55,1293941.0,4.250580204197873
235,CZ07,CZ,46,5,51,1214570.0,4.199016936034975
236,DEB1,DE,55,7,62,1498223.0,4.138235763300924
237,SK04,SK,62,5,67,1627704.0,4.116227520482839
238,BG34,BG,37,5,42,1024115.0,4.10110192702968
239,PL43,PL,39,2,41,1001411.0,4.094223051274652
240,HR03,HR,53,2,55,1373802.0,4.003488130021648
241,AT12,AT,59,8,67,1684287.0,3.9779443764631557
242,DE80,DE,57,6,63,1608138.0,3.917574238031811
243,CZ05,CZ,56,3,59,1517999.0,3.8866955775333185
244,HU12,HU,28,22,50,1297102.0,3.854746966699612
245,BG31,BG,28,0,28,728157.0,3.8453245659933226
246,PL52,PL,34,2,36,942233.0,3.8207110130933644
247,HU32,HU,53,1,54,1442660.0,3.743085688935716
