,MSA Name,Count Contributors,Population,Contributors/100k
C2550,"Harrisonburg, VA",26,134964,19
C4362,"Sioux Falls, SD",25,268232,9
C2946,"Lakeland-Winter Haven, FL",25,724777,3
C3370,"Modesto, CA",25,550660,4
C4738,"Waco, TX",24,273920,8
C4022,"Roanoke, VA",24,313222,7
C2074,"Eau Claire, WI",24,169304,14
C2150,"Erie, PA",24,269728,8
C1154,"Appleton, WI",24,237974,10
C1934,"Davenport-Moline-Rock Island, IA-IL",23,379172,6
C3174,"Manhattan, KS",23,130285,17
C2178,"Evansville, IN-KY",22,315086,6
C3982,"Redding, CA",21,180080,11
C1622,"Casper, WY",21,79858,26
C2430,"Grand Junction, CO",21,154210,13
C1730,"Clarksville, TN-KY",20,307820,6
C4154,"Salisbury, MD-DE",20,415726,4
C1766,"Coeur d'Alene, ID",19,165697,11
C3974,"Reading, PA",19,421164,4
C3366,"Mobile, AL",18,429536,4
C3278,"Medford, OR",18,220944,8
C3290,"Merced, CA",18,277680,6
C3834,"Pittsfield, MA",18,124944,14
C3134,"Lynchburg, VA",17,263566,6
C2458,"Green Bay, WI",17,322906,5
C2866,"Killeen-Temple, TX",17,460303,3
C2026,"Duluth, MN-WI",17,288732,5
C3142,"Macon, GA",16,229996,6
C2506,"Gulfport-Biloxi-Pascagoula, MS",16,417665,3
C2870,"Kingsport-Bristol-Bristol, TN-VA",16,307202,5
C3482,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",16,496901,3
C4334,"Shreveport-Bossier City, LA",15,394706,3
C4582,"Topeka, KS",15,231969,6
C2594,"Hilton Head Island-Bluffton-Beaufort, SC",15,222195,6
C2586,"Hickory-Lenoir-Morganton, NC",15,369711,4
C2218,"Fayetteville, NC",14,526719,2
C4546,"Terre Haute, IN",14,186367,7
C2786,"Jonesboro, AR",14,133860,10
C1606,"Carbondale-Marion, IL",14,135764,10
C4106,"St. Cloud, MN",14,201964,6
C1888,"Crestview-Fort Walton Beach-Destin, FL",13,284809,4
C2518,"Hagerstown-Martinsburg, MD-WV",13,288104,4
C2774,"Johnson City, TN",13,203649,6
C3462,"Muncie, IN",13,114135,11
C1262,"Bangor, ME",13,152148,8
C2242,"Flint, MI",13,405813,3
C1550,"Burlington, NC",13,169509,7
C4758,"Warner Robins, GA",13,185409,7
C4310,"Sheboygan, WI",12,115340,10
C2478,"Greenville, NC",12,180742,6
C1858,"Corpus Christi, TX",12,429024,2
C4410,"Springfield, IL",12,206868,5
C1798,"Columbus, GA-AL",12,321048,3
C1662,"Charleston, WV",12,257074,4
C4866,"Wichita Falls, TX",12,151254,7
C4166,"San Angelo, TX",11,122027,9
C4634,"Tyler, TX",11,232751,4
C4730,"Visalia-Porterville, CA",11,466195,2
C3598,"Norwich-New London, CT",11,265206,4
C2070,"East Stroudsburg, PA",11,170271,6
C4666,"Valdosta, GA",11,147292,7
C4746,"Walla Walla, WA",11,60760,18
C3474,"Muskegon, MI",10,173566,5
C3894,"Port St. Lucie, FL",10,489297,2
C4098,"Saginaw, MI",10,190539,5
C3746,"Panama City, FL",10,174705,5
C3678,"Oshkosh-Neenah, WI",10,171907,5
C2762,"Jefferson City, MO",10,151235,6
C1210,"Atlantic City-Hammonton, NJ",10,263670,3
C3386,"Montgomery, AL",10,373290,2
C2402,"Glens Falls, NY",10,125148,7
C3966,"Rapid City, SD",10,142107,7
C2114,"Elkhart-Goshen, IN",10,206341,4
